team,avg_age,possession,progressive_carries_per90,progressive_passes_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_goals_against_per90,gk_shots_on_target_against,gk_save_pct,gk_pens_save_pct,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks_per90,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_per90,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium,passes_completed_long_per90,passes_long_per90,passes_pct_long,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct,take_ons_tackled_per90,take_ons_tackled_pct,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct,season
Ajax,27.2,53.2,13.333333333333334,39.0,1.83,1.5,3.33,1.67,3.17,1.39,1.04,2.43,1.26,2.3,2.67,37,62.2,0.0,0.0,0.5,0.0,2.433333333333333,0.34,-0.24,19.8,41.333333333333336,4.833333333333333,35.9,32.8,5.5,36.4,38.5,14.166666666666666,4.7,0.83,12.4,34.4,10.67,3.67,0.16,0.45,17.6,0,0.12,0.45,0.4166666666666667,472.3333333333333,564.1666666666666,83.7,8056.833333333333,2646.5,213.0,232.5,91.6,215.83333333333334,241.16666666666666,89.5,34.166666666666664,66.0,51.8,1.0333333333333334,0.45,8.833333333333334,35.0,10.833333333333334,2.5,517.6666666666666,43.5,10.666666666666666,1.1666666666666667,3.1666666666666665,10.5,17.166666666666668,4.333333333333333,1.8333333333333333,0.5,0.0,3.0,7.0,18.33,15.5,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,3.33,2.6666666666666665,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,18.333333333333332,10.0,7.333333333333333,8.333333333333334,2.6666666666666665,10.5,17.333333333333332,60.6,6.833333333333333,10.333333333333334,2.5,7.833333333333333,8.833333333333334,27.166666666666668,18.166666666666668,0.8333333333333334,667.6666666666666,79.83333333333333,226.66666666666666,300.3333333333333,145.16666666666666,23.0,667.5,14.833333333333334,6.5,43.8,5.833333333333333,39.3,428.3333333333333,1772.0,844.5,11.333333333333334,3.3333333333333335,13.833333333333334,8.666666666666666,467.6666666666667,38.5,0.16666666666666666,13.0,7.833333333333333,3.0,0.16666666666666666,0.3333333333333333,0.0,48.833333333333336,9.166666666666666,14.0,39.6,2023
Atlético Madrid,29.5,56.5,18.5,47.666666666666664,0.67,0.5,1.17,0.67,1.17,1.59,0.88,2.47,1.31,2.19,1.5,27,70.4,0.0,0.0,0.0,0.0,1.6500000000000001,0.33,0.15,30.4,16.5,4.5,30.3,31.6,7.166666666666667,60.5,47.3,8.833333333333334,5.7,0.67,13.3,35.8,15.83,5.67,0.04,0.12,18.5,4,0.08,-0.9166666666666666,-0.6333333333333333,507.8333333333333,612.3333333333334,82.9,8551.0,2797.1666666666665,253.0,276.8333333333333,91.4,194.33333333333334,227.16666666666666,85.5,47.0,79.16666666666667,59.4,0.7833333333333333,-0.3833333333333333,10.833333333333334,39.166666666666664,9.666666666666666,3.1666666666666665,560.3333333333334,48.666666666666664,10.333333333333334,1.0,5.0,25.166666666666668,22.166666666666668,6.5,4.333333333333333,1.0,0.16666666666666666,3.3333333333333335,7.333333333333333,28.0,21.333333333333332,1.5,1.0,2.1666666666666665,1.0,1.0,1.17,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,14.166666666666666,8.0,6.333333333333333,5.0,2.8333333333333335,8.0,13.166666666666666,60.8,5.166666666666667,13.5,3.5,10.0,7.0,21.166666666666668,13.166666666666666,0.3333333333333333,716.8333333333334,48.0,183.0,346.1666666666667,192.16666666666666,24.666666666666668,716.5,14.833333333333334,6.666666666666667,44.9,7.0,47.2,474.8333333333333,2252.0,1065.3333333333333,17.333333333333332,4.5,14.333333333333334,9.833333333333334,504.0,46.833333333333336,0.0,9.333333333333334,10.166666666666666,3.3333333333333335,0.16666666666666666,0.16666666666666666,0.0,51.5,12.5,13.5,48.1,2023
Barcelona,27.2,64.8,27.833333333333332,59.666666666666664,2.0,1.67,3.67,2.0,3.67,1.65,1.36,3.01,1.65,3.01,2.0,30,63.3,0.0,0.0,0.3333333333333333,0.0,2.1,0.4,0.1,65.8,27.5,4.5,17.6,25.4,6.0,25.0,29.3,9.833333333333334,1.7,1.0,18.2,36.7,15.0,5.5,0.13,0.36,16.7,2,0.11,0.35000000000000003,0.35000000000000003,579.3333333333334,672.1666666666666,86.2,9984.5,3177.0,270.5,299.3333333333333,90.4,243.83333333333334,268.8333333333333,90.7,53.833333333333336,74.0,72.7,1.75,0.3,11.833333333333334,57.166666666666664,14.0,3.0,622.3333333333334,48.5,15.5,2.5,4.5,25.666666666666668,17.333333333333332,6.666666666666667,3.3333333333333335,2.5,0.0,1.3333333333333333,9.5,27.67,21.5,1.6666666666666667,1.5,0.8333333333333334,1.0,1.1666666666666667,3.83,3.3333333333333335,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,15.666666666666666,9.666666666666666,5.166666666666667,7.333333333333333,3.1666666666666665,6.333333333333333,11.5,55.1,5.166666666666667,10.0,3.3333333333333335,6.666666666666667,8.5,24.166666666666668,9.666666666666666,0.5,776.3333333333334,53.833333333333336,162.83333333333334,384.6666666666667,233.66666666666666,32.333333333333336,776.3333333333334,21.333333333333332,8.5,39.8,10.833333333333334,50.8,521.0,2779.8333333333335,1483.6666666666667,22.5,6.0,14.0,10.5,574.6666666666666,59.5,0.0,9.5,11.666666666666666,1.3333333333333333,0.0,0.16666666666666666,0.0,52.333333333333336,11.5,11.666666666666666,49.6,2023
Bayern Munich,27.4,56.1,24.9,54.1,2.1,1.9,4.0,2.0,3.9,1.94,1.55,3.49,1.86,3.41,0.6,36,83.3,0.0,0.0,0.1,0.0,1.06,0.3,0.46,38.7,32.7,4.5,16.8,28.3,6.1,11.5,22.0,11.3,1.8,0.7,13.4,43.1,16.7,7.2,0.12,0.28,18.2,8,0.11,0.16,0.13999999999999999,527.7,609.6,86.6,9268.7,3081.3,232.6,254.2,91.5,238.0,262.2,90.8,48.2,70.2,68.7,1.35,0.35,12.9,46.4,10.6,1.1,566.5,40.5,10.7,2.6,3.3,12.7,18.2,3.8,2.3,1.3,0.1,2.6,7.5,30.2,23.8,1.2,2.4,1.5,0.9,0.4,3.9,3.0,0.2,0.4,0.3,0.0,0.0,18.9,11.8,9.4,6.9,2.6,8.0,17.5,45.7,9.5,14.6,3.4,11.2,12.0,30.9,13.1,0.5,728.8,70.5,230.5,321.1,183.8,29.4,728.7,23.2,12.1,52.2,8.8,37.9,489.3,2590.9,1319.9,16.2,6.4,15.5,11.4,524.1,53.8,0.1,12.1,9.4,2.6,0.0,0.1,0.0,57.4,10.5,11.3,48.2,2023
Benfica,26.8,52.9,18.7,45.5,2.5,1.6,4.1,2.0,3.6,1.92,1.22,3.14,1.53,2.75,1.3,31,67.7,0.0,0.0,0.1,0.0,1.21,0.32,-0.09,30.1,19.9,4.2,33.7,33.5,6.4,40.6,36.7,14.0,4.3,1.1,14.8,36.1,13.3,4.8,0.15,0.42,17.3,6,0.12,0.58,0.47000000000000003,483.2,574.0,84.2,8268.6,2694.8,225.0,250.5,89.8,187.7,210.0,89.4,52.5,76.9,68.3,1.25,0.38,10.3,37.3,9.9,1.8,530.1,42.3,10.3,1.0,5.4,15.2,18.4,4.9,2.1,1.2,0.0,1.6,9.9,25.4,19.5,1.2,1.8,1.0,1.6,0.3,4.7,3.1,0.1,0.5,0.1,0.6,0.3,18.9,10.5,8.0,7.8,3.1,8.2,18.9,43.4,10.7,12.6,3.3,9.3,12.3,31.2,16.0,0.1,687.4,58.8,198.1,319.8,177.6,25.4,686.9,19.9,9.9,49.7,8.5,42.7,446.3,2297.1,1100.4,18.2,4.3,15.5,8.3,480.4,44.9,0.0,10.3,8.9,1.6,0.4,0.3,0.0,53.7,11.5,14.3,44.6,2023
Celtic,26.8,44.2,16.333333333333332,50.0,0.5,0.17,0.67,0.5,0.67,1.53,1.09,2.62,1.4,2.49,2.5,31,58.1,0.0,0.0,0.0,0.0,2.216666666666667,0.4,-0.28,41.2,23.666666666666668,5.333333333333333,9.2,24.5,5.333333333333333,12.5,25.3,9.833333333333334,0.0,1.0,19.3,35.4,13.67,4.83,0.04,0.1,18.1,1,0.1,-1.0333333333333334,-0.9,452.3333333333333,536.1666666666666,84.4,7881.0,2666.8333333333335,188.66666666666666,212.5,88.8,223.0,248.0,89.9,31.166666666666668,50.0,62.3,1.2333333333333334,-0.9333333333333332,10.5,39.333333333333336,12.5,4.0,494.1666666666667,41.333333333333336,7.833333333333333,1.3333333333333333,1.5,20.166666666666668,19.333333333333332,5.333333333333333,1.6666666666666667,1.3333333333333333,0.0,0.6666666666666666,9.333333333333334,23.5,18.166666666666668,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.5,0.5,0.83,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,14.833333333333334,7.5,5.833333333333333,6.0,3.0,6.833333333333333,13.5,50.6,6.666666666666667,13.0,4.5,8.5,10.833333333333334,25.666666666666668,14.0,0.3333333333333333,638.8333333333334,52.833333333333336,174.33333333333334,296.6666666666667,172.5,23.5,638.6666666666666,12.666666666666666,5.666666666666667,44.7,5.0,39.5,446.1666666666667,2248.6666666666665,1165.5,12.666666666666666,2.5,13.166666666666666,11.5,451.3333333333333,50.0,0.0,8.333333333333334,6.166666666666667,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.0,48.5,7.0,7.166666666666667,49.4,2023
Chelsea,27.7,57.3,21.1,51.2,1.2,0.7,1.9,1.0,1.7,1.62,1.18,2.8,1.46,2.64,0.9,37,75.7,0.0,0.0,0.1,0.0,1.04,0.31,0.14,31.0,24.8,5.3,24.6,29.8,4.9,53.1,42.3,9.5,7.4,1.2,17.8,33.6,15.2,5.1,0.07,0.2,16.5,6,0.1,-0.42000000000000004,-0.45999999999999996,501.5,597.7,83.9,8337.5,2769.0,251.7,276.8,90.9,195.3,222.5,87.8,42.6,69.3,61.5,1.34,-0.48,11.5,41.8,10.5,1.6,552.7,42.3,13.2,1.5,3.6,19.4,17.0,5.3,2.8,2.1,0.0,2.7,9.3,28.3,21.1,2.6,1.1,2.0,1.3,0.2,2.0,1.7,0.0,0.1,0.1,0.1,0.0,17.5,10.4,8.1,6.8,2.6,8.7,17.4,50.0,8.7,13.6,3.0,10.6,9.3,26.8,14.1,0.1,710.5,53.9,188.3,336.8,192.8,27.2,710.3,20.8,8.9,42.8,9.0,43.3,503.3,2343.3,1162.7,22.0,4.7,15.3,9.1,498.5,51.0,0.0,13.7,12.1,2.7,0.1,0.0,0.0,59.7,11.6,10.9,51.6,2023
Club Brugge,27.1,45.6,13.625,29.875,1.0,0.87,1.87,0.87,1.75,1.0,0.65,1.65,0.8,1.46,1.37,45,80.0,0.0,0.0,0.0,0.0,1.8875,0.31,0.51,51.6,30.875,3.75,44.9,37.0,9.5,57.9,40.3,14.0,5.4,0.63,9.6,29.9,8.37,2.5,0.1,0.35,19.3,1,0.1,0.0,0.075,374.75,475.625,78.8,7226.875,2554.0,142.0,168.125,84.5,167.625,192.0,87.3,51.375,87.75,58.5,0.5125,0.225,5.875,24.125,4.875,1.25,426.0,47.875,13.0,0.625,4.875,13.125,19.5,3.5,2.5,0.25,0.0,1.75,9.625,14.63,9.875,1.125,1.25,0.625,1.125,0.625,1.87,1.25,0.125,0.375,0.0,0.125,0.0,14.125,8.0,7.25,5.0,1.875,5.875,12.25,48.0,6.375,10.5,3.75,6.75,9.0,23.125,20.125,0.5,581.375,76.875,213.0,261.0,112.5,13.125,581.125,19.125,8.375,43.8,8.5,44.4,381.0,2049.25,873.375,9.625,3.375,11.625,8.75,368.625,29.75,0.125,9.125,8.375,1.75,0.25,0.375,0.0,48.625,14.25,12.0,54.3,2023
Dinamo Zagreb,27.7,46.8,17.833333333333332,32.333333333333336,0.67,0.33,1.0,0.67,1.0,0.7,0.54,1.24,0.7,1.24,1.83,35,77.1,0.0,0.0,0.0,0.16666666666666666,2.0833333333333335,0.27,0.41,30.9,29.5,4.5,42.4,35.7,12.666666666666666,46.1,41.3,16.833333333333332,3.0,0.5,10.8,36.4,9.17,3.33,0.07,0.2,20.3,2,0.08,-0.03333333333333333,-0.03333333333333333,372.0,470.1666666666667,79.1,6721.833333333333,2509.0,160.83333333333334,183.16666666666666,87.8,156.5,185.0,84.6,41.5,72.16666666666667,57.5,0.5499999999999999,-0.19999999999999998,6.833333333333333,21.5,6.166666666666667,1.8333333333333333,419.8333333333333,50.0,16.0,0.6666666666666666,5.5,12.166666666666666,16.0,2.5,0.8333333333333334,0.5,0.0,0.3333333333333333,10.833333333333334,16.67,14.666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.5,0.0,1.33,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,17.5,9.0,10.0,6.0,1.5,8.333333333333334,16.5,50.5,8.166666666666666,12.166666666666666,5.166666666666667,7.0,11.0,28.5,21.166666666666668,0.16666666666666666,580.8333333333334,89.66666666666667,240.66666666666666,238.33333333333334,107.16666666666667,13.0,580.8333333333334,14.833333333333334,6.0,40.4,7.166666666666667,48.3,369.3333333333333,1939.1666666666667,973.8333333333334,14.5,2.5,15.5,11.5,369.5,32.333333333333336,0.0,10.166666666666666,12.333333333333334,0.3333333333333333,0.0,0.5,0.16666666666666666,51.0,14.5,12.0,54.7,2023
Dortmund,26.8,47.9,19.875,37.5,1.37,1.25,2.62,1.37,2.62,1.31,1.1,2.41,1.31,2.41,0.87,36,83.3,50.0,0.0,0.125,0.0,1.375,0.26,0.5,38.5,34.625,3.75,27.4,29.3,7.75,32.3,32.9,15.125,5.0,1.63,17.1,27.8,12.12,3.38,0.11,0.41,18.5,4,0.11,0.0625,0.0625,423.5,515.375,82.2,7189.375,2476.125,203.375,228.5,89.0,164.25,185.75,88.4,41.125,69.0,59.6,0.9125,0.15,9.25,28.375,7.125,0.75,469.75,44.625,12.75,1.0,6.75,11.5,18.875,3.375,1.0,1.875,0.0,1.0,8.875,21.12,16.25,1.0,2.0,1.25,0.5,0.125,2.62,1.875,0.125,0.5,0.125,0.0,0.0,13.875,8.375,6.625,5.25,2.0,6.25,14.5,43.1,8.25,13.25,3.875,9.375,11.125,25.0,17.0,0.5,629.75,74.75,226.875,278.75,130.875,20.25,629.75,20.0,8.625,43.1,9.25,46.3,395.25,2105.375,1091.5,15.5,5.625,13.0,8.875,420.625,37.375,0.0,9.125,10.0,1.0,0.0,0.25,0.0,53.375,8.5,10.75,44.2,2023
