team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
Antwerp,20,24.9,43.2,6,66,540,6.0,6,4,10,6,0,1,15,2,6.2,5.4,4.0,9.5,79,188,1.00,0.67,1.67,1.00,1.67,1.03,0.67,1.70,0.91,1.58,6,6,540,17,2.83,36,20,55.6,1,0,5,0,0.0,1,1,0,0,0.0,1,2,1,12.4,0.33,-3.6,-0.59,40,111,36.0,230,30,41.7,33.2,42,35.7,33.2,68,9,13.2,3,0.50,12.7,55,21,38.2,9.17,3.50,0.11,0.29,17.0,1,0.10,-0.2,+0.6,2106,2623,80.3,39400,14156,860,960,89.6,923,1049,88.0,267,464,57.5,4.2,0.0,37,145,39,8,2362,249,56,6,11,98,103,25,9,11,0,12,60,99,16.50,74,9,6,4,3,3,8,1.33,5,0,1,1,0,1,99,56,49,38,12,53,118,44.9,65,82,26,56,46,145,111,5,3276,494,1265,1360,680,97,3275,105,56,53.3,41,39.0,2083,10082,4855,66,18,92,59,2079,186,1,58,43,12,0,1,1,283,47,72,39.5,2024
Arsenal,22,25.7,55.8,6,66,540,6.0,16,13,29,15,1,1,5,0,10.7,10.0,8.3,18.2,116,254,2.67,2.17,4.83,2.50,4.67,1.79,1.38,3.17,1.66,3.04,6,6,540,4,0.67,18,14,77.8,4,1,1,3,50.0,0,0,0,0,0,0,1,0,4.3,0.24,+0.3,+0.04,28,73,38.4,190,27,32.1,30.5,37,32.4,31.1,70,11,15.7,8,1.33,15.5,79,31,39.2,13.17,5.17,0.19,0.48,14.9,1,0.13,+5.3,+5.0,2972,3452,86.1,48665,15492,1443,1575,91.6,1241,1360,91.3,194,331,58.6,7.3,+4.7,65,204,50,6,3209,237,67,9,20,58,99,24,14,7,0,6,52,142,23.67,101,14,12,8,5,2,27,4.50,22,0,3,2,0,0,83,45,22,46,15,35,87,40.2,52,58,11,47,40,123,83,1,4089,348,1156,1951,1019,168,4088,133,60,45.1,62,46.6,2718,14532,7003,98,41,97,47,2937,249,0,64,53,6,0,0,0,271,69,56,55.2,2024
Atlético Madrid,21,29.7,53.3,6,66,540,6.0,15,9,24,15,0,1,14,1,9.3,8.3,6.7,15.0,101,236,2.50,1.50,4.00,2.50,4.00,1.54,1.12,2.66,1.39,2.50,6,6,540,6,1.00,26,21,76.9,4,2,0,2,33.3,0,0,0,0,0,0,2,1,6.7,0.28,+1.7,+0.28,18,53,34.0,132,28,26.5,31.5,41,43.9,35.8,81,4,4.9,2,0.33,9.7,82,31,37.8,13.67,5.17,0.18,0.48,17.0,1,0.10,+5.7,+6.7,3345,3911,85.5,55024,17247,1703,1825,93.3,1281,1444,88.7,269,448,60.0,6.5,+2.3,63,228,60,13,3662,237,54,10,39,87,99,32,11,11,1,12,50,153,25.50,124,8,6,9,4,2,22,3.67,15,1,1,5,0,0,76,52,43,23,10,44,107,41.1,63,85,19,66,48,124,122,2,4562,427,1549,2019,1020,169,4561,99,48,48.5,44,44.4,2654,11037,5548,73,38,72,33,3332,235,1,57,49,12,1,0,1,290,45,56,44.6,2024
Barcelona,24,26.8,61.7,6,66,540,6.0,11,11,22,11,0,0,16,1,10.5,10.5,9.0,19.5,174,350,1.83,1.83,3.67,1.83,3.67,1.75,1.50,3.25,1.75,3.25,6,6,540,6,1.00,21,15,71.4,4,0,2,2,33.3,0,0,0,0,0,0,0,0,6.9,0.34,+0.9,+0.15,21,38,55.3,170,18,18.8,27.5,30,20.0,29.2,48,1,2.1,11,1.83,23.1,100,30,30.0,16.67,5.00,0.11,0.37,17.0,3,0.11,+0.5,+0.5,3408,3927,86.8,60102,17718,1512,1650,91.6,1569,1731,90.6,282,410,68.8,9.1,+2.0,72,305,59,12,3655,267,79,9,41,129,110,36,12,9,0,5,55,169,28.17,127,8,15,13,4,2,19,3.17,14,1,1,2,1,0,78,52,25,35,18,33,73,45.2,40,65,15,50,40,118,76,3,4532,316,999,2167,1401,196,4532,174,84,48.3,60,34.5,3000,15509,8629,130,58,85,58,3382,347,1,65,63,5,0,0,0,287,68,52,56.7,2024
Bayern Munich,22,27.7,57.7,6,66,540,6.0,12,10,22,11,1,1,8,0,9.3,8.5,7.6,16.1,153,304,2.00,1.67,3.67,1.83,3.50,1.54,1.26,2.81,1.42,2.69,6,6,540,6,1.00,18,12,72.2,5,1,0,2,33.3,1,1,0,0,0.0,0,0,0,7.8,0.39,+1.8,+0.30,34,72,47.2,225,25,30.2,30.1,43,9.3,20.0,54,2,3.7,10,1.67,29.0,82,28,34.1,13.67,4.67,0.13,0.39,15.9,3,0.11,+2.7,+2.5,3199,3736,85.6,58392,18577,1277,1404,91.0,1547,1701,90.9,318,484,65.7,9.1,+2.4,67,261,60,4,3462,261,59,22,25,92,113,34,15,16,0,13,59,151,25.17,115,12,7,12,5,0,22,3.67,16,2,2,1,1,0,102,66,47,40,15,50,113,44.2,63,70,15,55,51,153,78,2,4363,407,1419,1869,1130,164,4362,142,81,57.0,54,38.0,2802,14548,8038,114,32,111,58,3176,300,0,57,57,13,0,1,0,332,65,56,53.7,2024
Benfica,22,26.7,49.0,6,66,540,6.0,7,4,11,7,0,0,9,2,7.8,7.8,5.3,13.2,104,210,1.17,0.67,1.83,1.17,1.83,1.31,0.89,2.19,1.31,2.19,6,6,540,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0,0,2,0,14.6,0.37,+3.6,+0.60,23,58,39.7,140,24,26.4,28.5,55,38.2,35.3,72,3,4.2,6,1.00,12.1,71,27,38.0,11.83,4.50,0.10,0.26,16.8,1,0.11,-0.8,-0.8,2390,3017,79.2,40848,15142,1132,1299,87.1,924,1111,83.2,232,398,58.3,6.0,-1.3,50,184,38,6,2687,321,91,6,19,93,134,24,17,4,0,9,62,124,20.67,90,12,5,10,5,2,13,2.17,11,0,1,0,0,1,129,78,70,46,13,73,145,50.3,72,74,23,51,52,181,114,2,3757,435,1236,1657,902,130,3756,128,60,46.9,54,42.2,2195,11675,5191,91,25,77,71,2377,209,0,49,75,9,0,4,0,340,75,88,46.0,2024
Braga,23,28.1,53.2,6,66,540,6.0,6,6,12,6,0,1,10,1,8.3,7.5,5.6,13.1,112,276,1.00,1.00,2.00,1.00,2.00,1.38,0.93,2.32,1.25,2.19,6,6,540,12,2.00,32,22,62.5,1,1,4,0,0.0,0,0,0,0,0,0,1,2,10.6,0.33,+0.6,+0.10,26,71,36.6,173,27,28.9,31.0,40,52.5,37.9,82,1,1.2,9,1.50,17.5,89,20,22.5,14.83,3.33,0.07,0.30,17.0,2,0.09,-2.3,-1.5,2848,3371,84.5,49659,16910,1315,1434,91.7,1168,1289,90.6,287,472,60.8,8.3,+0.4,71,241,60,21,3086,279,89,4,22,134,97,35,14,14,0,6,49,160,26.67,121,13,6,10,7,3,11,1.83,8,1,0,1,0,1,109,61,52,42,15,56,112,50.0,56,65,19,46,45,154,95,1,4021,377,1101,1912,1037,162,4020,103,53,51.5,42,40.8,2590,12771,6277,94,24,79,53,2832,273,0,62,66,6,1,0,2,279,60,90,40.0,2024
Celtic,23,26.7,46.2,6,66,540,6.0,5,4,9,4,1,1,16,3,4.9,4.1,3.7,7.9,63,209,0.83,0.67,1.50,0.67,1.33,0.82,0.62,1.44,0.69,1.31,6,6,540,15,2.50,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0,1,2,0,13.3,0.31,-1.7,-0.28,11,30,36.7,192,36,12.0,23.8,52,13.5,22.4,84,1,1.2,1,0.17,5.9,46,22,47.8,7.67,3.67,0.09,0.18,14.0,0,0.10,+0.1,-0.1,2770,3258,85.0,47476,15660,1246,1371,90.9,1298,1444,89.9,189,322,58.7,3.9,+0.3,36,153,28,5,2951,298,91,10,5,60,122,13,4,4,1,9,51,75,12.50,59,4,3,5,3,1,10,1.67,7,0,1,1,1,0,80,49,45,28,7,48,97,49.5,49,76,30,46,45,125,120,0,3848,522,1600,1691,581,65,3848,92,38,41.3,41,44.6,2283,10391,4761,49,8,92,46,2681,179,1,51,71,10,1,2,0,246,57,42,57.6,2024
Dortmund,20,27.8,44.0,6,66,540,6.0,7,6,13,6,1,1,9,0,8.0,7.2,5.4,12.6,108,189,1.17,1.00,2.17,1.00,2.00,1.33,0.90,2.23,1.20,2.09,6,6,540,4,0.67,22,17,86.4,3,2,1,3,50.0,2,1,1,0,50.0,0,0,0,7.9,0.27,+3.9,+0.66,34,70,48.6,168,18,29.2,31.0,58,36.2,35.4,91,3,3.3,0,0.00,6.9,83,26,31.3,13.83,4.33,0.07,0.23,19.1,2,0.09,-1.0,-1.2,2057,2606,78.9,36611,14889,959,1111,86.3,804,939,85.6,230,390,59.0,4.4,+0.6,67,159,41,6,2313,280,64,2,24,82,114,34,15,16,0,13,70,146,24.33,111,13,9,8,5,0,13,2.17,11,0,1,0,1,0,138,79,81,48,9,75,132,56.8,57,89,28,61,61,199,137,1,3356,438,1249,1394,753,116,3355,100,46,46.0,45,45.0,2028,11814,5619,78,26,77,46,2029,188,0,66,60,13,1,2,0,317,63,48,56.8,2024
FC Copenhagen,20,27.9,42.8,6,66,540,6.0,8,5,13,7,1,2,14,2,7.6,6.3,5.0,11.3,91,170,1.33,0.83,2.17,1.17,2.00,1.27,0.84,2.11,1.05,1.89,6,6,540,8,1.33,29,21,75.9,2,2,2,2,33.3,1,1,0,0,0.0,0,1,0,9.1,0.30,+1.1,+0.18,36,101,35.6,178,32,37.6,35.1,54,63.0,49.2,120,6,5.0,3,0.50,9.9,67,23,34.3,11.17,3.83,0.10,0.30,18.5,1,0.10,+0.4,+0.7,2195,2809,78.1,36742,13356,1075,1234,87.1,806,964,83.6,214,403,53.1,5.6,0.0,50,154,44,18,2530,273,56,4,15,87,129,20,10,7,1,6,54,123,20.50,85,8,14,13,3,0,14,2.33,13,0,0,1,0,0,115,66,70,25,20,67,127,52.8,60,81,24,57,53,168,157,2,3546,454,1404,1348,831,118,3544,110,55,50.0,50,45.5,1942,9242,4831,63,21,99,50,2177,169,2,57,45,6,1,1,0,301,88,108,44.9,2024
