team,avg_age,possession,progressive_carries_per90,progressive_passes_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_goals_against_per90,gk_shots_on_target_against,gk_save_pct,gk_pens_save_pct,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks_per90,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_per90,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium,passes_completed_long_per90,passes_long_per90,passes_pct_long,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct,take_ons_tackled_per90,take_ons_tackled_pct,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct,standing,season
Ajax,26.0,61.4,22.375,63.625,2.62,2.0,4.62,2.5,4.5,2.37,1.76,4.13,2.27,4.03,1.0,22,72.7,0.0,0.0,0.0,0.125,1.2625,0.38,0.39,37.5,32.0,2.625,19.5,26.9,5.125,14.6,26.4,8.875,0.0,0.75,18.4,37.5,16.0,6.0,0.16,0.42,15.6,1,0.14,0.25,0.225,523.25,619.0,84.5,8713.25,3029.625,239.25,266.75,89.7,224.25,249.625,89.8,40.125,61.0,65.8,1.7125,0.2375,13.375,43.0,18.25,3.375,567.75,48.625,11.5,2.25,3.625,18.25,24.0,4.75,0.875,0.625,0.125,2.625,9.5,29.62,24.875,2.0,1.125,0.875,0.625,0.125,4.75,4.125,0.0,0.25,0.25,0.125,0.0,18.125,11.875,6.125,8.625,3.375,6.875,16.625,41.4,9.75,11.75,2.25,9.5,7.875,26.0,12.75,0.375,726.0,52.0,176.625,325.0,230.375,38.125,725.875,19.625,10.25,52.2,9.25,47.1,465.125,2191.125,1152.125,14.625,4.875,14.875,8.25,517.5,63.125,0.0,14.5,9.875,2.625,0.125,0.25,0.125,55.625,12.625,11.0,53.4,9,2022
Atalanta,28.2,52.0,22.166666666666668,43.666666666666664,2.0,1.83,3.83,2.0,3.83,1.7,1.46,3.16,1.7,3.16,2.17,34,61.8,0.0,0.0,0.5,0.0,2.0,0.35,-0.16,37.9,22.333333333333332,4.666666666666667,23.9,30.4,5.5,78.8,55.4,10.166666666666666,3.3,1.17,17.9,37.8,13.67,5.17,0.15,0.39,18.0,3,0.13,0.3,0.3,422.8333333333333,528.0,80.1,7521.833333333333,2636.3333333333335,196.5,223.33333333333334,88.0,165.0,195.0,84.6,47.833333333333336,77.0,62.1,1.1333333333333333,0.3666666666666667,10.833333333333334,33.166666666666664,9.333333333333334,2.1666666666666665,475.8333333333333,50.0,14.166666666666666,1.0,8.166666666666666,17.0,22.666666666666668,4.5,2.0,2.5,0.0,2.1666666666666665,8.333333333333334,25.33,19.833333333333332,1.8333333333333333,1.1666666666666667,1.3333333333333333,0.6666666666666666,0.5,3.83,3.1666666666666665,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,19.166666666666668,11.0,9.5,5.5,4.166666666666667,10.0,17.0,58.8,7.0,10.833333333333334,3.0,7.833333333333333,12.333333333333334,31.5,14.666666666666666,0.6666666666666666,648.5,50.166666666666664,190.33333333333334,274.3333333333333,189.5,24.666666666666668,648.5,18.0,8.333333333333334,46.3,9.666666666666666,53.7,358.5,1889.8333333333333,934.8333333333334,16.833333333333332,6.666666666666667,22.333333333333332,10.833333333333334,419.0,43.166666666666664,0.0,11.333333333333334,12.333333333333334,2.1666666666666665,0.0,0.0,0.0,61.833333333333336,14.5,10.5,58.0,17,2022
Atlético Madrid,27.9,40.6,16.1,28.4,0.9,0.8,1.7,0.8,1.6,1.22,0.87,2.09,1.14,2.01,1.0,36,77.8,0.0,0.0,0.1,0.0,1.33,0.33,0.33,25.3,19.4,3.6,60.3,41.4,9.6,63.5,44.9,11.6,7.8,0.7,13.2,26.3,9.5,2.5,0.08,0.32,17.9,4,0.13,-0.32,-0.33999999999999997,295.3,395.5,74.7,5082.5,1963.4,141.8,162.5,87.3,103.8,126.7,81.9,33.8,71.5,47.3,0.79,-0.06999999999999999,6.8,19.7,5.6,1.1,346.0,47.2,12.5,1.5,7.6,11.3,19.9,3.2,1.1,1.4,0.0,2.3,8.6,15.4,11.3,0.9,1.0,1.3,0.6,0.3,1.5,1.1,0.1,0.1,0.2,0.0,0.0,17.6,10.7,9.3,6.7,1.6,9.2,21.8,42.2,12.6,8.6,2.7,5.9,11.0,28.6,18.0,0.1,496.5,57.3,171.7,220.7,109.2,17.7,496.4,13.4,7.8,58.2,5.6,41.8,258.0,1366.9,722.5,11.1,4.0,13.5,9.0,292.5,28.3,0.1,12.8,11.3,2.3,0.0,0.2,0.0,50.4,12.1,14.5,45.5,5,2022
Barcelona,25.9,57.8,23.666666666666668,51.5,0.33,0.17,0.5,0.33,0.5,1.08,0.91,1.99,1.08,1.99,1.5,25,68.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.31,-0.1,44.2,30.5,4.166666666666667,18.6,27.3,6.0,25.0,29.6,6.0,11.1,0.83,14.8,18.3,10.0,1.83,0.03,0.18,16.8,0,0.11,-0.75,-0.75,530.8333333333334,624.5,85.0,8994.5,2840.3333333333335,244.5,268.8333333333333,90.9,227.5,251.33333333333334,90.5,43.666666666666664,67.0,65.2,1.1666666666666667,-0.75,9.0,38.666666666666664,9.5,2.5,573.0,48.333333333333336,14.0,0.6666666666666666,4.333333333333333,19.666666666666668,19.833333333333332,6.0,1.5,1.6666666666666667,0.0,3.1666666666666665,9.666666666666666,19.33,15.0,2.1666666666666665,0.8333333333333334,0.5,0.6666666666666666,0.16666666666666666,0.33,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,16.833333333333332,10.166666666666666,6.166666666666667,7.666666666666667,3.0,8.666666666666666,19.333333333333332,44.8,10.666666666666666,7.833333333333333,1.8333333333333333,6.0,10.5,27.333333333333332,9.166666666666666,0.16666666666666666,717.1666666666666,55.166666666666664,172.66666666666666,361.3333333333333,190.0,24.0,717.1666666666666,18.833333333333332,12.833333333333334,68.1,6.0,31.9,453.8333333333333,2250.1666666666665,1214.0,20.666666666666668,5.833333333333333,15.166666666666666,13.333333333333334,527.6666666666666,50.833333333333336,0.16666666666666666,13.833333333333334,11.0,3.1666666666666665,0.0,0.16666666666666666,0.0,52.5,13.166666666666666,9.0,59.4,17,2022
Bayern Munich,26.9,62.9,23.8,70.5,3.0,2.3,5.3,2.7,5.0,2.63,1.87,4.49,2.33,4.19,0.7,25,72.0,0.0,0.0,0.0,0.0,0.79,0.31,0.09,61.2,35.1,5.0,17.4,26.9,4.6,13.0,24.5,7.2,4.2,2.6,22.1,35.5,18.6,6.6,0.15,0.41,18.4,9,0.13,0.37,0.37,569.7,663.7,85.8,10070.4,3547.2,264.3,292.2,90.5,247.6,275.8,89.8,51.6,74.0,69.7,1.6600000000000001,0.43,14.3,58.6,14.9,3.1,620.8,40.1,10.6,1.8,4.6,20.1,17.5,5.7,2.2,2.0,0.1,2.8,7.2,34.2,26.1,1.6,3.0,1.8,1.2,0.5,5.4,3.9,0.0,0.6,0.5,0.3,0.1,17.2,9.8,7.0,7.0,3.2,7.2,16.8,42.9,9.6,10.2,2.1,8.1,11.2,28.4,9.9,0.3,771.3,55.9,200.9,345.9,230.8,34.8,770.9,23.6,16.2,68.6,7.4,31.4,522.3,2517.2,1367.4,19.5,6.3,15.8,8.6,565.6,70.1,0.0,11.5,9.4,2.8,0.2,0.0,0.0,58.8,10.9,9.2,54.2,5,2022
Benfica,27.7,38.9,15.5,27.8,1.3,1.0,2.3,1.2,2.2,1.18,0.86,2.04,1.1,1.96,1.7,52,67.3,100.0,0.1,0.2,0.1,2.0300000000000002,0.38,0.43,35.3,26.5,5.0,41.9,36.8,9.2,45.7,39.9,15.2,2.6,0.5,13.6,37.0,9.2,3.4,0.13,0.35,16.5,2,0.13,0.12,0.1,312.5,403.5,77.4,5586.2,2159.9,134.0,157.9,84.9,128.8,149.5,86.2,36.6,65.9,55.5,0.5599999999999999,0.13999999999999999,7.6,22.2,4.5,1.1,351.5,50.0,17.0,1.0,3.0,10.7,17.9,3.2,1.2,1.1,0.0,2.0,8.0,15.9,10.6,1.8,0.9,1.5,0.7,0.4,2.1,1.4,0.1,0.2,0.3,0.1,0.0,15.6,8.4,10.3,4.7,0.6,8.2,18.6,44.1,10.4,10.4,3.1,7.3,10.7,26.3,21.5,0.1,520.9,75.1,201.3,219.0,105.9,15.7,520.8,20.1,10.8,53.7,9.3,46.3,290.6,1525.3,744.3,12.4,4.5,14.6,10.1,310.2,27.7,0.0,11.0,12.7,2.0,0.0,0.1,0.1,49.0,12.8,13.6,48.5,5,2022
Beşiktaş,28.0,44.2,16.333333333333332,29.5,0.5,0.33,0.83,0.33,0.67,1.03,0.83,1.86,0.9,1.73,3.17,43,62.8,0.0,0.0,0.5,0.0,2.783333333333333,0.33,-0.38,45.6,23.166666666666668,5.166666666666667,38.1,34.3,9.333333333333334,66.1,47.1,12.5,9.3,2.17,22.8,22.9,8.0,1.83,0.04,0.18,16.0,1,0.11,-0.5333333333333333,-0.5666666666666667,348.6666666666667,446.6666666666667,78.1,5767.5,2395.1666666666665,177.16666666666666,201.5,87.9,119.0,143.33333333333334,83.0,33.833333333333336,61.5,55.0,0.7666666666666666,-0.5,6.166666666666667,21.5,5.833333333333333,2.0,399.8333333333333,43.666666666666664,13.0,2.1666666666666665,4.0,12.833333333333334,14.0,3.3333333333333335,2.1666666666666665,0.8333333333333334,0.16666666666666666,3.1666666666666665,10.166666666666666,14.33,9.166666666666666,2.0,0.8333333333333334,1.1666666666666667,1.0,0.16666666666666666,0.83,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,20.666666666666668,13.333333333333334,13.166666666666666,6.166666666666667,1.3333333333333333,9.5,24.166666666666668,39.3,14.666666666666666,14.333333333333334,4.0,10.333333333333334,13.833333333333334,34.5,16.333333333333332,0.0,568.1666666666666,72.33333333333333,201.66666666666666,274.5,96.83333333333333,14.333333333333334,568.0,20.833333333333332,12.833333333333334,61.6,8.0,38.4,286.5,1493.1666666666667,747.1666666666666,11.5,3.8333333333333335,18.666666666666668,12.166666666666666,345.1666666666667,29.5,0.16666666666666666,10.5,11.5,3.1666666666666665,0.0,0.5,0.0,62.5,9.0,10.166666666666666,47.0,17,2022
Chelsea,27.4,61.0,21.941747572815533,55.533980582524265,2.03,1.45,3.48,1.84,3.29,1.83,1.49,3.33,1.68,3.18,0.97,23,60.9,0.0,0.0,0.0,0.0,0.8834951456310679,0.35,-0.09,28.3,19.126213592233007,4.174757281553398,16.2,26.7,5.4368932038834945,25.0,25.9,7.3786407766990285,1.3,0.87,20.5,32.5,16.06,5.23,0.11,0.35,17.2,8,0.11,0.1941747572815534,0.1553398058252427,571.7475728155339,662.7184466019417,86.3,9041.941747572815,2843.1067961165045,285.24271844660194,306.2135922330097,93.2,224.5631067961165,250.6796116504854,89.6,36.50485436893204,60.291262135922324,60.5,1.5825242718446602,-0.038834951456310676,13.009708737864077,46.60194174757281,14.36893203883495,1.8446601941747571,616.504854368932,45.43689320388349,10.0,1.0679611650485437,2.4271844660194173,19.611650485436893,21.06796116504854,6.893203883495145,2.233009708737864,3.9805825242718442,0.0,0.7766990291262136,9.029126213592232,28.84,22.233009708737864,2.815533980582524,1.1650485436893203,1.4563106796116503,1.0679611650485437,0.1941747572815534,3.77,2.815533980582524,0.2912621359223301,0.1941747572815534,0.1941747572815534,0.1941747572815534,0.0970873786407767,16.310679611650485,9.223300970873785,5.7281553398058245,6.893203883495145,3.6893203883495143,6.699029126213592,13.689320388349513,48.9,6.990291262135922,10.776699029126213,1.8446601941747571,8.932038834951456,8.155339805825243,24.466019417475728,9.12621359223301,0.48543689320388345,765.5339805825242,42.71844660194174,161.6504854368932,362.2330097087378,248.54368932038832,29.999999999999996,765.3398058252427,18.932038834951456,10.485436893203882,55.4,8.446601941747572,44.6,452.13592233009706,2282.135922330097,1244.5631067961165,23.009708737864077,3.786407766990291,14.757281553398057,9.029126213592232,568.252427184466,55.14563106796116,0.0,13.009708737864077,8.932038834951456,0.7766990291262136,0.1941747572815534,0.0970873786407767,0.0,51.84466019417475,13.300970873786406,11.650485436893202,53.3,5,2022
Club Brugge,26.2,38.8,13.833333333333334,34.666666666666664,0.83,0.83,1.67,0.83,1.67,1.02,0.74,1.76,1.02,1.76,3.33,47,63.8,0.0,0.0,0.0,0.0,3.4,0.38,0.07,54.1,29.333333333333332,3.1666666666666665,44.3,35.4,7.833333333333333,42.6,36.4,7.166666666666667,9.3,2.17,16.5,42.6,10.17,4.33,0.08,0.19,16.6,3,0.1,-0.18333333333333335,-0.18333333333333335,299.6666666666667,411.0,72.9,5244.666666666667,2337.8333333333335,144.0,172.5,83.5,105.16666666666667,134.83333333333334,78.0,37.333333333333336,68.16666666666667,54.8,0.6333333333333333,0.08333333333333333,6.666666666666667,21.5,6.833333333333333,1.1666666666666667,358.1666666666667,49.333333333333336,11.5,1.5,4.0,15.666666666666666,19.833333333333332,6.166666666666667,3.1666666666666665,1.0,0.0,3.5,9.333333333333334,17.67,12.833333333333334,0.8333333333333334,1.8333333333333333,1.0,0.8333333333333334,0.3333333333333333,1.5,1.1666666666666667,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,18.333333333333332,10.166666666666666,9.833333333333334,6.166666666666667,2.3333333333333335,7.833333333333333,17.5,44.8,9.666666666666666,12.333333333333334,3.8333333333333335,8.5,15.0,33.333333333333336,13.5,0.0,526.6666666666666,70.5,197.16666666666666,196.66666666666666,138.16666666666666,20.333333333333332,526.6666666666666,21.666666666666668,13.833333333333334,63.8,7.833333333333333,36.2,255.33333333333334,1391.3333333333333,669.3333333333334,11.333333333333334,4.333333333333333,16.333333333333332,8.333333333333334,296.5,34.0,0.0,10.333333333333334,9.5,3.5,0.0,0.5,0.0,59.333333333333336,11.666666666666666,7.333333333333333,61.4,17,2022
Dortmund,26.2,51.8,22.833333333333332,42.333333333333336,1.67,1.33,3.0,1.33,2.67,1.91,1.51,3.42,1.65,3.16,1.83,23,52.2,100.0,0.0,0.0,0.16666666666666666,1.3166666666666667,0.3,-0.35,54.8,23.833333333333332,2.8333333333333335,23.8,28.0,6.0,22.2,30.0,10.833333333333334,3.1,1.0,15.8,32.5,13.83,4.5,0.1,0.3,17.3,3,0.12,-0.25,-0.31666666666666665,459.8333333333333,562.6666666666666,81.7,7616.5,2615.6666666666665,213.16666666666666,242.0,88.1,184.0,209.66666666666666,87.8,37.666666666666664,62.0,60.8,1.3166666666666667,-0.18333333333333335,10.666666666666666,33.5,8.666666666666666,1.6666666666666667,515.3333333333334,44.333333333333336,9.666666666666666,1.1666666666666667,3.3333333333333335,15.333333333333334,19.833333333333332,5.666666666666667,2.5,2.3333333333333335,0.0,3.0,10.666666666666666,25.67,18.5,1.5,3.5,1.1666666666666667,1.0,0.0,3.0,1.8333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.0,18.0,11.0,8.5,7.5,2.0,8.833333333333334,19.833333333333332,44.5,11.0,12.666666666666666,2.3333333333333335,10.333333333333334,10.166666666666666,28.166666666666668,14.0,0.16666666666666666,670.3333333333334,56.833333333333336,182.0,322.1666666666667,173.33333333333334,25.833333333333332,670.0,23.5,15.333333333333334,65.2,8.166666666666666,34.8,427.6666666666667,2239.0,1203.3333333333333,16.166666666666668,6.666666666666667,13.0,9.833333333333334,455.8333333333333,42.0,0.0,10.666666666666666,7.666666666666667,3.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,62.833333333333336,9.5,10.333333333333334,47.9,17,2022
