team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,topGoals,season
Ajax,21,26.0,61.4,8,88,720,8.0,21,16,37,20,1,1,15,0,19.0,18.2,14.1,32.2,179,509,2.62,2.00,4.62,2.50,4.50,2.37,1.76,4.13,2.27,4.03,8,8,720,8,1.00,22,15,72.7,6,1,1,2,25.0,2,2,0,0,0.0,0,0,1,10.1,0.38,+3.1,+0.39,21,56,37.5,256,21,19.5,26.9,41,14.6,26.4,71,0,0.0,6,0.75,18.4,128,48,37.5,16.00,6.00,0.16,0.42,15.6,1,0.14,+2.0,+1.8,4186,4952,84.5,69706,24237,1914,2134,89.7,1794,1997,89.8,321,488,65.8,13.7,+1.9,107,344,146,27,4542,389,92,18,29,146,192,38,7,5,1,21,76,237,29.62,199,16,9,7,5,1,38,4.75,33,0,2,2,1,0,145,95,49,69,27,55,133,41.4,78,94,18,76,63,208,102,3,5808,416,1413,2600,1843,305,5807,157,82,52.2,74,47.1,3721,17529,9217,117,39,119,66,4140,505,0,116,79,21,1,2,1,445,101,88,53.4,9,11,2022
Atalanta,21,28.2,52.0,6,66,540,6.0,12,11,23,12,0,0,9,0,10.2,10.2,8.8,19.0,133,262,2.00,1.83,3.83,2.00,3.83,1.70,1.46,3.16,1.70,3.16,6,6,540,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,,0,3,0,12.0,0.35,-1.0,-0.16,22,58,37.9,134,28,23.9,30.4,33,78.8,55.4,61,2,3.3,7,1.17,17.9,82,31,37.8,13.67,5.17,0.15,0.39,18.0,3,0.13,+1.8,+1.8,2537,3168,80.1,45131,15818,1179,1340,88.0,990,1170,84.6,287,462,62.1,6.8,+2.2,65,199,56,13,2855,300,85,6,49,102,136,27,12,15,0,13,50,152,25.33,119,11,7,8,4,3,23,3.83,19,1,1,1,1,0,115,66,57,33,25,60,102,58.8,42,65,18,47,74,189,88,4,3891,301,1142,1646,1137,148,3891,108,50,46.3,58,53.7,2151,11339,5609,101,40,134,65,2514,259,0,68,74,13,0,0,0,371,87,63,58.0,17,3,2022
Atlético Madrid,22,27.9,40.6,10,110,900,10.0,9,8,17,8,1,1,24,4,12.2,11.4,8.7,20.1,161,284,0.90,0.80,1.70,0.80,1.60,1.22,0.87,2.09,1.14,2.01,10,10,900,10,1.00,36,26,77.8,3,3,4,3,30.0,2,2,0,0,0.0,0,1,0,13.3,0.33,+3.3,+0.33,45,178,25.3,194,36,60.3,41.4,96,63.5,44.9,116,9,7.8,7,0.70,13.2,95,25,26.3,9.50,2.50,0.08,0.32,17.9,4,0.13,-3.2,-3.4,2953,3955,74.7,50825,19634,1418,1625,87.3,1038,1267,81.9,338,715,47.3,7.9,-0.7,68,197,56,11,3460,472,125,15,76,113,199,32,11,14,0,23,86,154,15.40,113,9,10,13,6,3,15,1.50,11,1,1,2,0,0,176,107,93,67,16,92,218,42.2,126,86,27,59,110,286,180,1,4965,573,1717,2207,1092,177,4964,134,78,58.2,56,41.8,2580,13669,7225,111,40,135,90,2925,283,1,128,113,23,0,2,0,504,121,145,45.5,5,4,2022
Barcelona,23,25.9,57.8,6,66,540,6.0,2,1,3,2,0,0,13,1,6.5,6.5,5.5,11.9,142,309,0.33,0.17,0.50,0.33,0.50,1.08,0.91,1.99,1.08,1.99,6,6,540,9,1.50,25,16,68.0,2,1,3,3,50.0,1,1,0,0,0.0,0,0,0,8.4,0.31,-0.6,-0.10,19,43,44.2,183,25,18.6,27.3,36,25.0,29.6,36,4,11.1,5,0.83,14.8,60,11,18.3,10.00,1.83,0.03,0.18,16.8,0,0.11,-4.5,-4.5,3185,3747,85.0,53967,17042,1467,1613,90.9,1365,1508,90.5,262,402,65.2,7.0,-4.5,54,232,57,15,3438,290,84,4,26,118,119,36,9,10,0,19,58,116,19.33,90,13,5,3,4,1,2,0.33,2,0,0,0,0,0,101,61,37,46,18,52,116,44.8,64,47,11,36,63,164,55,1,4303,331,1036,2168,1140,144,4303,113,77,68.1,36,31.9,2723,13501,7284,124,35,91,80,3166,305,1,83,66,19,0,1,0,315,79,54,59.4,17,1,2022
Bayern Munich,24,26.9,62.9,10,110,900,10.0,30,23,53,27,3,4,12,0,26.3,23.3,18.7,41.9,238,705,3.00,2.30,5.30,2.70,5.00,2.63,1.87,4.49,2.33,4.19,10,10,900,7,0.70,25,18,72.0,7,2,1,4,40.0,0,0,0,0,,0,0,0,7.9,0.31,+0.9,+0.09,41,67,61.2,351,50,17.4,26.9,46,13.0,24.5,72,3,4.2,26,2.60,22.1,186,66,35.5,18.60,6.60,0.15,0.41,18.4,9,0.13,+3.7,+3.7,5697,6637,85.8,100704,35472,2643,2922,90.5,2476,2758,89.8,516,740,69.7,16.6,+4.3,143,586,149,31,6208,401,106,18,46,201,175,57,22,20,1,28,72,342,34.20,261,16,30,18,12,5,54,5.40,39,0,6,5,3,1,172,98,70,70,32,72,168,42.9,96,102,21,81,112,284,99,3,7713,559,2009,3459,2308,348,7709,236,162,68.6,74,31.4,5223,25172,13674,195,63,158,86,5656,701,0,115,94,28,2,0,0,588,109,92,54.2,5,13,2022
Benfica,24,27.7,38.9,10,110,900,10.0,13,10,23,12,1,1,20,0,11.8,11.0,8.6,19.6,155,278,1.30,1.00,2.30,1.20,2.20,1.18,0.86,2.04,1.10,1.96,10,10,900,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0,1,2,1,20.3,0.38,+4.3,+0.43,54,153,35.3,265,50,41.9,36.8,92,45.7,39.9,152,4,2.6,5,0.50,13.6,92,34,37.0,9.20,3.40,0.13,0.35,16.5,2,0.13,+1.2,+1.0,3125,4035,77.4,55862,21599,1340,1579,84.9,1288,1495,86.2,366,659,55.5,5.6,+1.4,76,222,45,11,3515,500,170,10,30,107,179,32,12,11,0,20,80,159,15.90,106,18,9,15,7,4,21,2.10,14,1,2,3,1,0,156,84,103,47,6,82,186,44.1,104,104,31,73,107,263,215,1,5209,751,2013,2190,1059,157,5208,201,108,53.7,93,46.3,2906,15253,7443,124,45,146,101,3102,277,0,110,127,20,0,1,1,490,128,136,48.5,5,6,2022
Beşiktaş,26,28.0,44.2,6,66,540,6.0,3,2,5,2,1,1,16,2,6.2,5.4,5.0,10.4,98,177,0.50,0.33,0.83,0.33,0.67,1.03,0.83,1.86,0.90,1.73,6,6,540,19,3.17,43,24,62.8,0,0,6,0,0.0,3,3,0,0,0.0,0,3,0,16.7,0.33,-2.3,-0.38,41,90,45.6,139,31,38.1,34.3,56,66.1,47.1,75,7,9.3,13,2.17,22.8,48,11,22.9,8.00,1.83,0.04,0.18,16.0,1,0.11,-3.2,-3.4,2092,2680,78.1,34605,14371,1063,1209,87.9,714,860,83.0,203,369,55.0,4.6,-3.0,37,129,35,12,2399,262,78,13,24,77,84,20,13,5,1,19,61,86,14.33,55,12,5,7,6,1,5,0.83,1,2,0,1,1,0,124,80,79,37,8,57,145,39.3,88,86,24,62,83,207,98,0,3409,434,1210,1647,581,86,3408,125,77,61.6,48,38.4,1719,8959,4483,69,23,112,73,2071,177,1,63,69,19,0,3,0,375,54,61,47.0,17,1,2022
Chelsea,24,27.4,61.0,10,110,930,10.3,21,15,36,19,2,2,14,0,19.0,17.4,15.4,32.8,226,572,2.03,1.45,3.48,1.84,3.29,1.83,1.49,3.33,1.68,3.18,10,10,930,10,0.97,23,13,60.9,7,1,2,5,50.0,1,1,0,0,0.0,0,0,0,9.1,0.35,-0.9,-0.09,13,46,28.3,197,43,16.2,26.7,56,25.0,25.9,76,1,1.3,9,0.87,20.5,166,54,32.5,16.06,5.23,0.11,0.35,17.2,8,0.11,+2.0,+1.6,5889,6826,86.3,93132,29284,2938,3154,93.2,2313,2582,89.6,376,621,60.5,16.3,-0.4,134,480,148,19,6350,468,103,11,25,202,217,71,23,41,0,8,93,298,28.84,229,29,12,15,11,2,39,3.77,29,3,2,2,2,1,168,95,59,71,38,69,141,48.9,72,111,19,92,84,252,94,5,7885,440,1665,3731,2560,309,7883,195,108,55.4,87,44.6,4657,23506,12819,237,39,152,93,5853,568,0,134,92,8,2,1,0,534,137,120,53.3,5,4,2022
Club Brugge,21,26.2,38.8,6,66,540,6.0,5,5,10,5,0,0,11,0,6.1,6.1,4.5,10.6,83,208,0.83,0.83,1.67,0.83,1.67,1.02,0.74,1.76,1.02,1.76,6,6,540,20,3.33,47,27,63.8,1,1,4,0,0.0,3,3,0,0,0.0,0,0,0,20.4,0.38,+0.4,+0.07,53,98,54.1,176,19,44.3,35.4,47,42.6,36.4,43,4,9.3,13,2.17,16.5,61,26,42.6,10.17,4.33,0.08,0.19,16.6,3,0.10,-1.1,-1.1,1798,2466,72.9,31468,14027,864,1035,83.5,631,809,78.0,224,409,54.8,3.8,+0.5,40,129,41,7,2149,296,69,9,24,94,119,37,19,6,0,21,56,106,17.67,77,5,11,6,5,2,9,1.50,7,0,1,1,0,0,110,61,59,37,14,47,105,44.8,58,74,23,51,90,200,81,0,3160,423,1183,1180,829,122,3160,130,83,63.8,47,36.2,1532,8348,4016,68,26,98,50,1779,204,0,62,57,21,0,3,0,356,70,44,61.4,17,3,2022
Dortmund,23,26.2,51.8,6,66,540,6.0,10,8,18,8,2,2,8,2,11.5,9.9,9.1,18.9,137,254,1.67,1.33,3.00,1.33,2.67,1.91,1.51,3.42,1.65,3.16,6,6,540,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,100.0,0,0,1,7.9,0.30,-2.1,-0.35,23,42,54.8,143,17,23.8,28.0,36,22.2,30.0,65,2,3.1,6,1.00,15.8,83,27,32.5,13.83,4.50,0.10,0.30,17.3,3,0.12,-1.5,-1.9,2759,3376,81.7,45699,15694,1279,1452,88.1,1104,1258,87.8,226,372,60.8,7.9,-1.1,64,201,52,10,3092,266,58,7,20,92,119,34,15,14,0,18,64,154,25.67,111,9,21,7,6,0,18,3.00,11,1,3,1,2,0,108,66,51,45,12,53,119,44.5,66,76,14,62,61,169,84,1,4022,341,1092,1933,1040,155,4020,141,92,65.2,49,34.8,2566,13434,7220,97,40,78,59,2735,252,0,64,46,18,2,1,1,377,57,62,47.9,17,3,2022
Dynamo Kyiv,23,25.5,41.2,6,66,540,6.0,1,1,2,1,0,0,10,0,4.3,4.3,3.0,7.3,82,175,0.17,0.17,0.33,0.17,0.33,0.71,0.50,1.22,0.71,1.22,6,6,540,11,1.83,27,17,63.0,0,1,5,1,16.7,1,1,0,0,0.0,0,1,0,9.3,0.32,-1.7,-0.29,37,102,36.3,180,33,40.6,35.7,51,56.9,46.8,86,5,5.8,1,0.17,7.7,48,17,35.4,8.00,2.83,0.02,0.06,17.6,2,0.09,-3.3,-3.3,2161,2713,79.7,37772,13940,993,1114,89.1,864,1007,85.8,228,406,56.2,4.0,-2.0,31,123,43,6,2396,291,87,6,20,64,112,22,6,2,1,26,44,84,14.00,58,9,5,4,7,1,2,0.33,2,0,0,0,0,0,105,54,63,34,8,45,133,33.8,88,66,21,45,73,178,113,4,3389,486,1411,1293,715,96,3389,77,37,48.1,40,51.9,1730,8816,4542,63,18,95,32,2147,173,0,54,80,26,0,1,0,305,55,78,41.4,17,1,2022
Inter,22,29.0,49.1,8,88,720,8.0,9,6,15,9,0,0,12,2,12.8,12.8,9.4,22.1,146,389,1.13,0.75,1.87,1.13,1.87,1.59,1.17,2.77,1.59,2.77,8,8,720,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,,1,2,0,5.2,0.27,-1.8,-0.23,17,41,41.5,238,45,16.0,25.2,24,12.5,25.8,81,2,2.5,3,0.38,12.2,133,38,28.6,16.62,4.75,0.07,0.24,16.2,4,0.11,-3.8,-3.8,3535,4237,83.4,63351,21912,1495,1682,88.9,1614,1816,88.9,356,539,66.0,9.4,-3.4,100,302,83,26,3906,313,88,12,41,178,114,51,26,21,0,18,86,224,28.00,168,24,7,15,7,3,16,2.00,10,2,2,2,0,0,135,76,54,55,26,56,125,44.8,69,81,26,55,84,219,105,0,5033,573,1670,2147,1254,213,5033,93,44,47.3,49,52.7,3117,15325,8012,92,33,105,49,3493,386,1,85,77,18,0,0,0,402,82,80,50.6,9,3,2022
Juventus,28,27.3,51.5,8,88,720,8.0,11,6,17,9,2,2,10,0,13.3,11.7,9.7,21.4,153,317,1.37,0.75,2.12,1.13,1.87,1.66,1.21,2.87,1.46,2.67,8,8,720,10,1.25,24,15,66.7,5,1,2,4,50.0,2,2,0,0,0.0,0,2,1,8.6,0.28,-0.4,-0.04,18,50,36.0,155,36,23.9,30.4,50,26.0,27.8,115,5,4.3,5,0.63,13.1,102,34,33.3,12.75,4.25,0.09,0.26,17.6,1,0.12,-2.3,-2.7,3798,4501,84.4,67637,21193,1590,1784,89.1,1672,1834,91.2,389,589,66.0,9.0,-3.7,84,320,70,18,4166,320,85,18,44,131,136,27,7,11,1,15,66,186,23.25,151,11,10,8,5,1,18,2.25,13,0,2,1,2,0,141,84,74,42,25,51,117,43.6,66,86,29,57,93,234,117,2,5368,490,1566,2628,1211,179,5366,106,67,63.2,39,36.8,3045,14874,7748,116,37,123,66,3768,312,0,78,85,15,2,2,1,413,92,83,52.6,9,3,2022
